uMarka,urunKategorileri,urunKategorileriTwo,urunKategorileriThree,urunKategorileriFour,urunKategorileriFive,urunKategorileriSix,urunKategorileriSeven,urunAdi,urunAciklama,urunFoto,urunURL
Coca-Cola,İçecek,Gazlı İçecek,,,,,,Coca-Cola 6x250 ml Cam,,https://img.istegelsin.com/ae5e358476324e1a95bbbcca6984951c.jpg,
Lipton,İçecek,Çay,,,,,,Lipton Yellow Label 1 kg,,https://img.istegelsin.com/ce585d83639f44b489d03dc74dbb5bef.jpg,
Lipton,İçecek,Çay,,,,,,Lipton Doğu Karadeniz 1 kg,,https://img.istegelsin.com/11ccc760ef29402991381da3f9ac65c2.jpg,
Coca-Cola,İçecek,Gazlı İçecek,,,,,,Coca-Cola Şekersiz 6x250 ml Cam,,https://img.istegelsin.com/1c096f0bc49b4e4b9513a38bee49e8fc.jpg,
Lipton,İçecek,Çay,,,,,,Lipton Filiz 1 kg,,https://img.istegelsin.com/50512a88d0e243d7b9eda6f3ae1376c6.jpg,
Lipton,İçecek,"Bitki ve Zayıflama Çayları, Çay",,,,,,Lipton Bedtime Bliss 15'li (Bardak),,https://img.istegelsin.com/71046fcca731463fbee50ea9b6cc957e.jpg,
Lipton,İçecek,Çay,,,,,,Lipton Extra Dem 1 kg,,https://img.istegelsin.com/609eaef5bde2465db57cdfe93827926e.jpg,
Lipton,İçecek,"Bitki ve Zayıflama Çayları, Çay",,,,,,Lipton Time To Relax 15'li (Bardak),,https://img.istegelsin.com/9228af4b78e343b58cdb17b1117a36d3.jpg,
Pepsi,İçecek,Gazlı İçecek,,,,,,Pepsi Max 4x250 ml,,https://img.istegelsin.com/3384c32e9fbe40e2a4a466d384363a39.jpg,
Lipton,İçecek,"Bitki ve Zayıflama Çayları, Çay",,,,,,Lipton After Dinner 15'li (Bardak),,https://img.istegelsin.com/cd41e2d8219a4961842c8eff38016be6.jpg,
Pepsi,İçecek,Gazlı İçecek,,,,,,Pepsi Twist 4x250 ml,,https://img.istegelsin.com/8a59a712504b431697032d09a77f8f37.jpg,
Hayat,İçecek,Su,,,,,,Hayat Su 6x1 L,,https://img.istegelsin.com/b2a332c947724e369775016296932c0a.jpg,
Pepsi,İçecek,Gazlı İçecek,,,,,,Pepsi 4x250 ml,,https://img.istegelsin.com/7d4821d8d2d5462bb91bdadc05d9c49e.jpg,
Pınar,İçecek,Su,,,,,,Pınar Su 6x1 L,,https://img.istegelsin.com/d5de30a8bf8e4aca9ab63f0a03e4bfb4.jpg,
Saka,İçecek,Su,,,,,,Saka Doğal Mineralli Su 6x500 ml,,https://img.istegelsin.com/8038954.jpg,
Didi,İçecek,Soğuk Çay,,,,,,Didi Limon Aromalı Soğuk Çay 330 ml,,https://img.istegelsin.com/b6fc9d1667f347f1a17c369cde7d749d.jpg,
Didi,İçecek,Soğuk Çay,,,,,,Didi Bergamot Aromalı Soğuk Çay 330 ml,,https://img.istegelsin.com/a7b0c31cec984a5d83baff94af295dcf.jpg,
Didi,İçecek,Soğuk Çay,,,,,,Didi Şeftali Aromalı Soğuk Çay 330 ml,,https://img.istegelsin.com/74263bb45898490593be05910dc0bc72.jpg,
Fropie,İçecek,"Ayran, Kefir",,,,,,Fropie Keten İnek Kefir 500 ,,https://img.istegelsin.com/09a87ff521e64448ba2f18e021dfaa67.jpg,
Didi,İçecek,Soğuk Çay,,,,,,Didi Bergamot Aromalı Soğuk Çay 500 ml,,https://img.istegelsin.com/bac968e77c474992916006bd4b1401a4.jpg,
Didi,İçecek,Soğuk Çay,,,,,,Didi Şeftali Aromalı Soğuk Çay 500 ml,,https://img.istegelsin.com/8dea7f90d0d4463ea238e1f6dd066eff.jpg,
Didi,İçecek,Soğuk Çay,,,,,,Didi Limon Aromalı Soğuk Çay 500 ml,,https://img.istegelsin.com/5d5ecb2ce1bc451d8497c3011218e11a.jpg,
Doğanay,İçecek,"Şalgam, Limonata",,,,,,Doğanay Şalgam 300 ml,,https://img.istegelsin.com/7f33a4d253da4abdae0c7a08407ff2ab.jpg,
Doğanay,İçecek,"Şalgam, Limonata",,,,,,Doğanay Şalgam 300 ml Acılı,,https://img.istegelsin.com/cfc7b78c6a5c43eeab3c113020674222.jpg,
Coca-Cola,İçecek,Gazlı İçecek,,,,,,Coca-Cola 250 ml,,https://img.istegelsin.com/f15b982ca13643c9bca19523af667cf6.jpg,
Tchibo,İçecek,"Filtre, Çekirdek, Kapsül Kahve",,,,,,Tchibo Cafissimo Caffè Crema Rich Aroma Kapsül Kahve,,https://img.istegelsin.com/b1b5c872888e465ba934464195ff9cc1.jpg,
Coca-Cola,İçecek,Gazlı İçecek,,,,,,Coca-Cola Lime 250 ml,,https://img.istegelsin.com/b02b5b492254422abb9e238ab518f7d9.jpg,
Erikli,İçecek,Su,,,,,,Erikli 12x500 ml,,https://img.istegelsin.com/f5347a386bc14dd78767f72ca4eb841f.jpg,
Hayat,İçecek,Su,,,,,,Hayat Su 12x500 ml,,https://img.istegelsin.com/f56ffdd45cf940a3973f4ede3cb96246.jpg,
Pınar,İçecek,Su,,,,,,Pınar Su 12x500 ml,,https://img.istegelsin.com/6d0f8e68ab9d4b57a502e5732f3bd0f6.jpg,
Coca-Cola,İçecek,Gazlı İçecek,,,,,,Coca-Cola Energy 250 ml,,https://img.istegelsin.com/ae3e4a1a9d8c4e6180ead0285a7f9ae0.jpg,
Uludağ,İçecek,Su,,,,,,Uludağ Premium Su 12x400 ml,,https://img.istegelsin.com/e1900203d13e4f52a6d0573d19584f62.jpg,
Jacobs,İçecek,"Filtre, Çekirdek, Kapsül Kahve",,,,,,Jacobs Kapsül Lungo 8 Yoğun,,https://img.istegelsin.com/e5cab002dc024adab9907a4f54ef7c79.jpg,
Jacobs,İçecek,"Filtre, Çekirdek, Kapsül Kahve",,,,,,Jacobs Kapsül Espresso 7 Klasik,,https://img.istegelsin.com/4776d877eaf441a187d61ecfec56c6b9.jpg,
Jacobs,İçecek,"Filtre, Çekirdek, Kapsül Kahve",,,,,,Jacobs Kapsül Espresso 10 Yoğun,,https://img.istegelsin.com/29e2fdbb144b4afb86de3492623f4bc6.jpg,
Sprite,İçecek,Gazlı İçecek,,,,,,"Sprite 1,5 L",,https://img.istegelsin.com/7801660553df4c7382f2e31f5ad1c340.jpg,
Jacobs,İçecek,"Filtre, Çekirdek, Kapsül Kahve",,,,,,Jacobs Kapsül Lungo 6 Klasik,,https://img.istegelsin.com/81ba350500c24d1ea43f63335fbcf13f.jpg,
