uMarka,urunKategorileri,urunKategorileriTwo,urunKategorileriThree,urunKategorileriFour,urunKategorileriFive,urunKategorileriSix,urunKategorileriSeven,urunAdi,urunAciklama,urunFoto,urunURL
Çamlıca,icecekler,Meyveli Gazoz,,,,,,Çamlıca Portakal 1.5 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/camlica-portakal-15-lt
Yedigün,icecekler,Meyveli Gazoz,,,,,,Yedigün Bodrum Mandalina Pet 1 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/yedigun-bodrum-mandalina-pet-1-lt
Yedigün,icecekler,Meyveli Gazoz,,,,,,Yedigün Portakal 1.5 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/yedigun-portakal-15-lt
Fanta,icecekler,Meyveli Gazoz,,,,,,Fanta Kutu 250 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/fanta-kutu-250-ml
Uludağ,icecekler,Meyveli Gazoz,,,,,,Uludağ Efsane Portakal Cam 6x250 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/uludag-efsane-portakal-cam-6x250-ml
Çamlıca,icecekler,Meyveli Gazoz,,,,,,Çamlıca Gazoz Portakal 4x1 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/camlica-gazoz-portakal-4x1-lt
Uludağ,icecekler,Meyveli Maden Suları,,,,,,Uludağ Frutti Elma Cam Şişe 200 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/uludag-frutti-elma-cam-sise-200-ml
Uludağ,icecekler,Meyveli Maden Suları,,,,,,Uludağ Frutti Limon Cam Şişe 200 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/uludag-frutti-limon-cam-sise-200-ml
Uludağ,icecekler,Meyveli Maden Suları,,,,,,Uludağ Frutti Karpuz Çilek Cam Şişe 200 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/uludag-frutti-karpuz-cilek-cam-sise-200-ml
Kızılay,icecekler,Meyveli Maden Suları,,,,,,Kızılay Limonlu Maden Suyu 200 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/kizilay-limonlu-maden-suyu-200-ml
