uMarka,urunKategorileri,urunKategorileriTwo,urunKategorileriThree,urunKategorileriFour,urunKategorileriFive,urunKategorileriSix,urunKategorileriSeven,urunAdi,urunAciklama,urunFoto,urunURL
Familia,KagitUrunleri,"Peçete, Mendil",,,,,,Familia Hazır Katlanmış Peçete 100 lü,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/familia-hazir-katlanmis-pecete-100-lu-13283
Papia,KagitUrunleri,Tuvalet Kağıdı,,,,,,Papia Tuvalet Kağıdı Pure&Soft 16'lı,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/papia-tuvalet-kagidi-puresoft-16li-14639
Sofia,KagitUrunleri,Tuvalet Kağıdı,,,,,,Sofia Tuvalet Kağıdı 32 li Doğal Sabun Kokulu,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/sofia-tuvalet-kagidi-32-li-dogal-sabun-kokulu-15108
Berrak,KagitUrunleri,Kağıt Havlu,,,,,,Berrak Ultra Havlu 12'lı,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/berrak-ultra-havlu-12li-15510
Selpak,KagitUrunleri,"Peçete, Mendil",,,,,,Selpak Peçete 75 li,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/selpak-pecete-75-li-16160
Selpak,KagitUrunleri,"Peçete, Mendil",,,,,,Selpak Islak Cep Mendil Antibakteriyel 3x10 lu,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/selpak-islak-cep-mendil-antibakteriyel-10-lu-18058
Selpak,KagitUrunleri,Tuvalet Kağıdı,,,,,,Selpak Beyaz Tuvalet Kağıdı Delüxe 32'li,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/selpak-beyaz-tuvalet-kagidi-deluxe-32li-18210
Selpak,KagitUrunleri,Kağıt Havlu,,,,,,Selpak Beyaz Havlu Delüxe 12'li,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/selpak-beyaz-havlu-deluxe-12li-18218
Maylo,KagitUrunleri,Kağıt Havlu,,,,,,Maylo Dev Havlu 6 lı Sarım Jumbo,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/maylo-dev-havlu-6-li-sarim-jumbo
Dex,KagitUrunleri,Islak Mendiller,,,,,,Dex Islak Havlu 50'li Lila Bella,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/dex-islak-havlu-50-li-luxury-lila-bella-12348
